index,year,energia_Gg_CO2e_GWP_SAR,residuo_Gg_CO2e_GWP_SAR,agropecuaria_Gg_CO2e_GWP_SAR,ippu_Gg_CO2e_GWP_SAR,lulucf_Gg_CO2e_GWP_SAR
"0191
Agricultura, inclusive o apoio à agricultura e a pós-colheita",1990,0.0,0.0,0.0,0.0,118165.3923460534
"0192
Pecuária, inclusive o apoio à pecuária",1990,0.0,569.0894999999999,0.0,0.0,786620.547583133
"0280
Produção florestal; pesca e aquicultura",1990,0.0,0.0,0.0,0.0,2727.0115745542826
"1091
Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1990,0.0,443.0517,0.0,0.0,0.0
"1100
Fabricação de bebidas",1990,0.0,81.8475,0.0,0.0,0.0
"1700
Fabricação de celulose, papel e produtos de papel",1990,0.0,186.879,0.0,0.0,0.0
"2091
Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",1990,0.0,0.0,0.0,8744.469277325234,0.0
"2300
Fabricação de produtos de minerais não-metálicos",1990,0.0,0.0,0.0,15170.640561168355,0.0
"2491
Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",1990,0.0,0.0,0.0,28232.02444783335,0.0
"2492
Metalurgia de metais não-ferrosos e a fundição de metais",1990,0.0,0.0,0.0,4123.240826323265,0.0
"8691
Saúde pública",1990,0.0,15.190432341902236,0.0,0.0,0.0
"8692
Saúde privada",1990,0.0,27.00521305227064,0.0,0.0,0.0
RESIDENCIAL,1990,0.0,24870.45790652586,0.0,0.0,0.0
"0191
Agricultura, inclusive o apoio à agricultura e a pós-colheita",1991,0.0,0.0,0.0,0.0,111025.61071422123
"0192
Pecuária, inclusive o apoio à pecuária",1991,0.0,602.5026,0.0,0.0,598679.727887026
"0280
Produção florestal; pesca e aquicultura",1991,0.0,0.0,0.0,0.0,16174.920474697954
"1091
Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1991,0.0,453.4656,0.0,0.0,0.0
"1100
Fabricação de bebidas",1991,0.0,90.3147,0.0,0.0,0.0
"1700
Fabricação de celulose, papel e produtos de papel",1991,0.0,203.7147,0.0,0.0,0.0
"2091
Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",1991,0.0,0.0,0.0,9625.33234046738,0.0
"2300
Fabricação de produtos de minerais não-metálicos",1991,0.0,0.0,0.0,15979.69934755125,0.0
"2491
Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",1991,0.0,0.0,0.0,31232.188916742954,0.0
"2492
Metalurgia de metais não-ferrosos e a fundição de metais",1991,0.0,0.0,0.0,4525.067908613395,0.0
"8691
Saúde pública",1991,0.0,15.46780889139579,0.0,0.0,0.0
"8692
Saúde privada",1991,0.0,27.49832691803697,0.0,0.0,0.0
RESIDENCIAL,1991,0.0,26395.422552374188,0.0,0.0,0.0
"0191
Agricultura, inclusive o apoio à agricultura e a pós-colheita",1992,0.0,0.0,0.0,0.0,107272.525961873
"0192
Pecuária, inclusive o apoio à pecuária",1992,0.0,640.8906,0.0,0.0,737376.7369701685
"0280
Produção florestal; pesca e aquicultura",1992,0.0,0.0,0.0,0.0,-6062.7517422412875
"1091
Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1992,0.0,464.4024,0.0,0.0,0.0
"1100
Fabricação de bebidas",1992,0.0,98.7294,0.0,0.0,0.0
"1700
Fabricação de celulose, papel e produtos de papel",1992,0.0,222.7134,0.0,0.0,0.0
"2091
Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",1992,0.0,0.0,0.0,9797.537547956861,0.0
"2300
Fabricação de produtos de minerais não-metálicos",1992,0.0,0.0,0.0,14059.828516760452,0.0
"2491
Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",1992,0.0,0.0,0.0,31060.38775773994,0.0
"2492
Metalurgia de metais não-ferrosos e a fundição de metais",1992,0.0,0.0,0.0,4817.102497035423,0.0
"8691
Saúde pública",1992,0.0,15.771235247680403,0.0,0.0,0.0
"8692
Saúde privada",1992,0.0,28.03775155143183,0.0,0.0,0.0
RESIDENCIAL,1992,0.0,27226.703940138603,0.0,0.0,0.0
"0191
Agricultura, inclusive o apoio à agricultura e a pós-colheita",1993,0.0,0.0,0.0,0.0,125436.4481140716
"0192
Pecuária, inclusive o apoio à pecuária",1993,0.0,642.7449,0.0,0.0,752712.4903991793
"0280
Produção florestal; pesca e aquicultura",1993,0.0,0.0,0.0,0.0,-2791.3710098294523
"1091
Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1993,0.0,456.0591,0.0,0.0,0.0
"1100
Fabricação de bebidas",1993,0.0,107.1483,0.0,0.0,0.0
"1700
Fabricação de celulose, papel e produtos de papel",1993,0.0,224.7399,0.0,0.0,0.0
"2091
Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",1993,0.0,0.0,0.0,11556.795366766542,0.0
"2300
Fabricação de produtos de minerais não-metálicos",1993,0.0,0.0,0.0,14777.002300404396,0.0
"2491
Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",1993,0.0,0.0,0.0,31115.53863995571,0.0
"2492
Metalurgia de metais não-ferrosos e a fundição de metais",1993,0.0,0.0,0.0,5209.158789324686,0.0
"8691
Saúde pública",1993,0.0,16.04753465060079,0.0,0.0,0.0
"8692
Saúde privada",1993,0.0,28.52895048995697,0.0,0.0,0.0
RESIDENCIAL,1993,0.0,29351.809029688357,0.0,0.0,0.0
"0191
Agricultura, inclusive o apoio à agricultura e a pós-colheita",1994,0.0,0.0,0.0,0.0,131064.14400338111
"0192
Pecuária, inclusive o apoio à pecuária",1994,0.0,660.6243000000001,0.0,0.0,729344.7847058555
"0280
Produção florestal; pesca e aquicultura",1994,0.0,0.0,0.0,0.0,-7475.951160615872
"1091
Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1994,0.0,446.7519,0.0,0.0,0.0
"1100
Fabricação de bebidas",1994,0.0,117.39,0.0,0.0,0.0
"1700
Fabricação de celulose, papel e produtos de papel",1994,0.0,236.9703,0.0,0.0,0.0
"2091
Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",1994,0.0,0.0,0.0,11785.956181632815,0.0
"2300
Fabricação de produtos de minerais não-metálicos",1994,0.0,0.0,0.0,14594.904283204645,0.0
"2491
Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",1994,0.0,0.0,0.0,31339.578233537857,0.0
"2492
Metalurgia de metais não-ferrosos e a fundição de metais",1994,0.0,0.0,0.0,4910.7612104939335,0.0
"8691
Saúde pública",1994,0.0,16.314785704497787,0.0,0.0,0.0
"8692
Saúde privada",1994,0.0,29.004063474662736,0.0,0.0,0.0
RESIDENCIAL,1994,0.0,30919.23978300414,0.0,0.0,0.0
"0191
Agricultura, inclusive o apoio à agricultura e a pós-colheita",1995,0.0,0.0,0.0,0.0,165980.28769550566
"0192
Pecuária, inclusive o apoio à pecuária",1995,0.0,701.3307000000001,0.0,0.0,1806236.261157273
